time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.504297994269341091e-02,-9.584820561777968040e-01,0.000000000000000000e+00,1.108838730967091841e-07,1.189853609009282742e+01,1.391118716714014738e+02,1.350000000000000000e+02,1.601075474377725882e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.266209804096739372e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.604584527220630566e-02,1.690244027130460847e-01,0.000000000000000000e+00,1.109121890823652371e-07,1.190027736352718435e+01,1.391105502000347656e+02,1.350000000000000000e+02,1.601076637465103758e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.317936142642709367e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.704871060171920041e-02,-4.306321600494288582e+00,0.000000000000000000e+00,1.109196400780610553e-07,1.190074685047801673e+01,1.391084716681151576e+02,1.350000000000000000e+02,1.601077745993219636e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-9.671865296026996363e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805157593123209170e-02,-1.010765517765163501e+01,0.000000000000000000e+00,1.109227112676692973e-07,1.190096077128944074e+01,1.391061672976446175e+02,1.350000000000000000e+02,1.601078716431959847e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.016028034745785971e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.905444126074498645e-02,-1.551681846554263622e+01,0.000000000000000000e+00,1.109255158818925198e-07,1.190117101134083200e+01,1.391040071797013411e+02,1.350000000000000000e+02,1.601079547001021552e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-8.830253216646571288e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788121e-02,-2.003182521822631657e+01,0.000000000000000000e+00,1.109290413426341876e-07,1.190143473271953489e+01,1.391021161187195787e+02,1.350000000000000000e+02,1.601080261833573815e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-7.207979747743248943e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.106017191977077596e-02,-2.369721914836457799e+01,0.000000000000000000e+00,1.109331931418766192e-07,1.190174009416061018e+01,1.391004900869773451e+02,1.350000000000000000e+02,1.601080886568068706e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-5.859423603516321101e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.206303724928367072e-02,-2.670708341049915546e+01,0.000000000000000000e+00,1.109375316721728453e-07,1.190205521019887946e+01,1.390990909083806457e+02,1.350000000000000000e+02,1.601081441097284142e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.864350584389309257e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.306590257879656200e-02,-2.924171253799319459e+01,0.000000000000000000e+00,1.109416631412736708e-07,1.190235327069779103e+01,1.390978802645535950e+02,1.350000000000000000e+02,1.601081939453649028e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.147094372637538600e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.406876790830945675e-02,-3.143053236931779537e+01,0.000000000000000000e+00,1.109453551310124215e-07,1.190261905024054023e+01,1.390968266250785632e+02,1.350000000000000000e+02,1.601082391428116836e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.618045381208394872e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
